Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
PSYCH (GENERAL),Cognitive Research: Principles and Implications,2,2,30,34,35,21,14%,21%,14%,0.253,,,,,,,,,,,
PSYCH (GENERAL),Collabra: Psychology,2,,56,47,39,37,13%,35%,18%,0.153,,,,,,,,,,,
PSYCH (GENERAL),Creativity Research Journal,2,2,52,42,53,50,8%,31%,18%,0.061,,,,,,,,,,,
PSYCH (GENERAL),Decision,2,2,39,39,28,,20%,40%,19%,0.131,,,,,,,,,,,
PSYCH (GENERAL),European Journal of Psychological Assessment,2,,44,48,43,43,14%,45%,25%,0.126,,,,,,,,,,,
PSYCH (GENERAL),Journal of Cognitive Engineering and Decision Making,2,2,22,25,48,,6%,17%,38%,0.255,,,,,,,,,,,
PSYCH (GENERAL),Journal of Community Psychology,2,2,63,61,59,59,53%,12%,23%,0.261,,,,,,,,,,,
PSYCH (GENERAL),Journal of Economic Psychology,2,2,45,35,37,40,23%,48%,28%,1.048,,,,,,,,,,,
PSYCH (GENERAL),Journal of Language and Social Psychology,2,2,50,44,54,56,15%,29%,8%,0.109,,,,,,,,,,,
PSYCH (GENERAL),Journal of Nonverbal Behavior,2,2,33,38,34,45,8%,30%,16%,0.05,,,,,,,,,,,
PSYCH (GENERAL),Scandinavian Journal of Psychology,2,2,51,54,52,52,21%,33%,26%,0.211,,,,,,,,,,,
PSYCH (GENERAL),Zeitschrift fur Psychologie / Journal of Psychology,2,2,33,56,49,47,14%,32%,20%,0.114,,,,,,,,,,,
PSYCH (GENERAL),American Behavioral Scientist,1,1,39,33,42,28,44%,28%,9%,0.622,,,,,,,,,,,
PSYCH (GENERAL),American Journal of Psychology,1,1,70,67,63,64,11%,18%,14%,0.036,,,,,,,,,,,
PSYCH (GENERAL),Australian Journal of Psychology,1,1,55,60,57,55,23%,22%,20%,0.332,,,,,,,,,,,
PSYCH (GENERAL),Basic and Applied Social Psychology,1,1,54,52,44,42,16%,18%,13%,0.211,,,,,,,,,,,
PSYCH (GENERAL),Canadian Journal of Behavioural Science,1,1,60,55,60,58,27%,14%,15%,0.256,,,,,,,,,,,
PSYCH (GENERAL),Canadian Psychology,1,1,43,49,47,49,36%,15%,16%,0.324,,,,,,,,,,,
PSYCH (GENERAL),Current Psychology,1,1,57,59,61,51,19%,27%,14%,0.067,,,,,,,,,,,
PSYCH (GENERAL),European Journal of Psychology Open,1,1,69,69,70,68,87%,36%,40%,0,,,,,,,,,,,
PSYCH (GENERAL),European Psychologist,1,1,16,24,33,15,41%,49%,26%,0.414,,,,,,,,,,,
PSYCH (GENERAL),International Journal of Intercultural Relations,1,1,46,30,46,41,31%,40%,13%,0.194,,,,,,,,,,,
PSYCH (GENERAL),International Journal of Psychology,1,1,47,50,51,48,31%,44%,22%,0.31,,,,,,,,,,,
PSYCH (GENERAL),Japanese Psychological Research,1,1,62,66,68,65,12%,17%,15%,0.035,,,,,,,,,,,
PSYCH (GENERAL),Journal of Constructivist Psychology,1,1,65,58,69,67,21%,32%,15%,0.028,,,,,,,,,,,
PSYCH (GENERAL),Journal of Happiness Studies,1,1,24,18,32,23,27%,36%,17%,0.518,,,,,,,,,,,
PSYCH (GENERAL),Journal of Pacific Rim Psychology,1,1,68,70,65,62,29%,34%,21%,0.089,,,,,,,,,,,
PSYCH (GENERAL),Journal of Positive Psychology,1,1,17,14,25,12,7%,27%,17%,0.158,,,,,,,,,,,
PSYCH (GENERAL),Journal of Social Psychology,1,1,53,53,50,54,20%,26%,9%,0.16,,,,,,,,,,,
PSYCH (GENERAL),Nordic Psychology,1,1,66,65,66,66,18%,26%,27%,0.127,,,,,,,,,,,
PSYCH (GENERAL),Psicothema,1,1,35,27,40,36,35%,31%,23%,0.095,,,,,,,,,,,
PSYCH (GENERAL),Psihologija,1,1,71,71,71,69,19%,29%,20%,0.031,,,,,,,,,,,
PSYCH (GENERAL),Psychological Reports,1,1,61,63,62,60,19%,25%,23%,0.076,,,,,,,,,,,
PSYCH (GENERAL),Psychologist,1,1,72,72,72,70,4%,15%,4%,0,,,,,,,,,,,
PSYCH (GENERAL),Social Justice Research,1,1,59,62,58,57,54%,36%,12%,0.511,,,,,,,,,,,
PSYCH (GENERAL),South African Journal of Psychology,1,1,64,64,67,63,58%,22%,15%,0.113,,,,,,,,,,,
PSYCH (GENERAL),Spanish Journal of Psychology,1,1,67,68,64,61,25%,30%,19%,0.102,,,,,,,,,,,
PSYCH (GENERAL),The Journal of Psychology,1,1,48,51,56,32,31%,31%,16%,0.099,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Applied Psychology,4*,4*,3,2,2,1,26%,46%,15%,0.473,,,,,,,,,,,
PSYCH (WOP-OB),Personnel Psychology,4*,4*,2,1,1,2,19%,52%,12%,0.292,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Occupational and Organizational Psychology,4,4,14,18,9,8,21%,52%,20%,0.191,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Occupational Health Psychology,4,4,13,4,4,4,19%,40%,19%,0.777,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Organizational Behavior,4,4,4,4,3,3,18%,54%,9%,0.345,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Vocational Behavior,4,4,5,5,7,6,32%,49%,13%,0.45,,,,,,,,,,,
PSYCH (WOP-OB),Organizational Behavior and Human Decision Processes,4,4,18,13,5,10,14%,47%,9%,0.447,,,,,,,,,,,
PSYCH (WOP-OB),Work and Stress,4,4,6,6,10,7,26%,54%,21%,0.68,,,,,,,,,,,
PSYCH (WOP-OB),Accident Analysis and Prevention,3,3,7,8,12,16,82%,31%,33%,0.495,,,,,,,,,,,
PSYCH (WOP-OB),Applied Ergonomics,3,3,12,7,20,21,17%,24%,35%,0.251,,,,,,,,,,,
PSYCH (WOP-OB),Applied Psychology,3,3,15,17,14,17,17%,55%,13%,0.383,,,,,,,,,,,
PSYCH (WOP-OB),Ergonomics,3,3,22,21,27,28,19%,25%,31%,0.218,,,,,,,,,,,
PSYCH (WOP-OB),European Journal of Work and Organizational Psychology,3,3,17,20,13,18,18%,53%,12%,0.509,,,,,,,,,,,
PSYCH (WOP-OB),Human Factors,3,3,11,9,19,20,19%,19%,33%,0.473,,,,,,,,,,,
PSYCH (WOP-OB),Human Performance,3,3,38,43,29,31,8%,27%,9%,0.039,,,,,,,,,,,
PSYCH (WOP-OB),International Journal of Rehabilitation Research,3,3,39,50,43,41,43%,18%,56%,0.186,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Business and Psychology,3,3,9,10,8,9,19%,38%,19%,0.35,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Managerial Psychology,3,3,29,34,25,24,24%,36%,10%,0.101,,,,,,,,,,,
PSYCH (WOP-OB),Journal of School Psychology,3,3,16,12,11,12,40%,16%,18%,0.665,,,,,,,,,,,
PSYCH (WOP-OB),Occupational and Environmental Medicine,3,3,8,15,15,14,63%,40%,65%,1.477,,,,,,,,,,,
PSYCH (WOP-OB),Scandinavian Journal of Work Environment and Health,3,3,9,16,16,13,89%,43%,59%,1.418,,,,,,,,,,,
PSYCH (WOP-OB),Applied Psychological Measurement,2,2,44,28,17,42,1%,33%,15%,0.107,,,,,,,,,,,
PSYCH (WOP-OB),Applied Psychology: Health and Well-Being,2,2,19,22,18,15,32%,37%,32%,0.291,,,,,,,,,,,
PSYCH (WOP-OB),Cognition Technology and Work,2,2,30,30,41,40,23%,24%,37%,0.367,,,,,,,,,,,
PSYCH (WOP-OB),Group Dynamics,2,2,42,46,39,39,14%,29%,19%,0.031,,,,,,,,,,,
PSYCH (WOP-OB),International Archives of Occupational and Environmental Health,2,2,26,27,28,27,50%,29%,51%,0.586,,,,,,,,,,,
PSYCH (WOP-OB),International Journal of Industrial Ergonomics,2,2,27,19,37,37,24%,22%,30%,0.131,,,,,,,,,,,
PSYCH (WOP-OB),International Journal of Selection and Assessment,2,2,46,49,32,44,11%,28%,26%,0.221,,,,,,,,,,,
PSYCH (WOP-OB),International Journal of Stress Management,2,2,24,25,26,22,19%,37%,21%,0.267,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Applied Social Psychology,2,2,37,42,30,33,28%,37%,13%,0.202,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Career Assessment,2,2,23,23,21,26,22%,31%,12%,0.129,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Occupational and Environmental Medicine,2,2,36,47,34,36,44%,20%,52%,0.563,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Occupational Rehabilitation,2,2,25,24,23,25,40%,29%,61%,1.042,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Personnel Psychology,2,2,45,53,38,38,7%,38%,11%,0.09,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Safety Research,2,2,20,14,22,19,71%,20%,31%,0.421,,,,,,,,,,,
PSYCH (WOP-OB),Organizational Psychology Review,2,2,13,11,6,11,9%,47%,15%,0.321,,,,,,,,,,,
PSYCH (WOP-OB),Rehabilitation Psychology,2,2,34,38,36,30,29%,18%,50%,0.371,,,,,,,,,,,
PSYCH (WOP-OB),Small Group Research,2,2,30,32,33,35,9%,40%,15%,0.025,,,,,,,,,,,
PSYCH (WOP-OB),Community Work and Family,1,1,43,33,44,,57%,19%,14%,0.914,,,,,,,,,,,
PSYCH (WOP-OB),Disability and Rehabilitation,1,2,28,31,31,29,37%,26%,54%,0.401,,,,,,,,,,,
PSYCH (WOP-OB),European Work and Organizational Psychology in practice,1,,,,,,,,,,,,,,,,,,,,
PSYCH (WOP-OB),Gedrag en Organisatie,1,1,64,65,65,56,43%,32%,25%,0.299,,,,,,,,,,,
PSYCH (WOP-OB),Human Factors and Ergonomics In Manufacturing,1,1,40,40,50,46,29%,26%,23%,0.089,,,,,,,,,,,
PSYCH (WOP-OB),IISE Transactions on Occupational Ergonomics and Human Factors,1,,52,36,47,,36%,24%,32%,0.125,,,,,,,,,,,
PSYCH (WOP-OB),Industrial and Organizational Psychology,1,1,32,58,35,5,33%,12%,15%,0.192,,,,,,,,,,,
PSYCH (WOP-OB),International Coaching Psychology Review,1,,,,,,,,,,,,,,,,,,,,
PSYCH (WOP-OB),International Journal for Educational and Vocational Guidance,1,1,47,35,51,48,24%,40%,7%,0.223,,,,,,,,,,,
PSYCH (WOP-OB),International Journal of Occupational Safety and Ergonomics,1,1,41,39,53,43,30%,17%,26%,0.136,,,,,,,,,,,
PSYCH (WOP-OB),International Journal of Workplace Health Management,1,,55,55,57,,44%,19%,22%,0.329,,,,,,,,,,,
PSYCH (WOP-OB),International Negotiation,1,1,60,60,56,,39%,42%,7%,0.439,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Career Development,1,1,33,29,42,34,39%,31%,11%,0.179,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Employment Counseling,1,1,57,54,59,51,30%,27%,24%,0.016,,,,,,,,,,,
PSYCH (WOP-OB),Journal of Rehabilitation,1,1,63,61,60,54,49%,11%,33%,0,,,,,,,,,,,
PSYCH (WOP-OB),Military Psychology,1,1,47,52,48,49,31%,12%,53%,0.368,,,,,,,,,,,
PSYCH (WOP-OB),Occupational Medicine,1,1,35,44,40,32,40%,17%,44%,0.54,,,,,,,,,,,
PSYCH (WOP-OB),Psychologie du Travail et des Organisations,1,1,65,64,64,,15%,15%,22%,0.087,,,,,,,,,,,
PSYCH (WOP-OB),Psychologist-Manager Journal,1,1,62,63,63,,28%,8%,21%,0.016,,,,,,,,,,,
PSYCH (WOP-OB),Rehabilitation Counseling Bulletin,1,1,50,41,49,45,45%,12%,24%,0.286,,,,,,,,,,,
PSYCH (WOP-OB),Research in Occupational Stress and Well Being,1,1,59,45,45,,9%,0%,15%,0.03,,,,,,,,,,,
PSYCH (WOP-OB),Revue Europeenne de Psychologie Appliquee,1,1,56,56,58,50,35%,21%,28%,0.042,,,,,,,,,,,
PSYCH (WOP-OB),Social Work in Public Health,1,1,58,59,54,52,74%,11%,17%,0.183,,,,,,,,,,,
PSYCH (WOP-OB),South African Journal of Industrial Psychology,1,1,51,51,55,,48%,10%,10%,0.052,,,,,,,,,,,
PSYCH (WOP-OB),Sport Exercise and Performance Psychology,1,1,21,26,24,23,5%,41%,12%,0.041,,,,,,,,,,,
PSYCH (WOP-OB),The International Journal of Aerospace Psychology,1,1,54,37,62,53,16%,18%,36%,0.078,,,,,,,,,,,
PSYCH (WOP-OB),TPM - Testing Psychometrics Methodology in Applied Psychology,1,1,53,57,52,,18%,28%,16%,0.012,,,,,,,,,,,
PSYCH (WOP-OB),Work,1,1,49,48,46,47,40%,24%,35%,0.195,,,,,,,,,,,
PSYCH (WOP-OB),Zeitschrift fur Arbeits- und Organisationspsychologie,1,1,61,62,61,55,17%,14%,18%,0.061,,,,,,,,,,,
PUB SEC,Public Administration Review,4*,4*,3,2,2,2,41%,36%,10%,1.12,,,,,,,,,,,
PUB SEC,Governance,4,4,8,4,5,8,53%,43%,12%,1.129,,,,,,,,,,,
PUB SEC,Journal of Public Administration Research and Theory,4,4,2,1,1,3,37%,35%,11%,0.969,,,,,,,,,,,
PUB SEC,Public Administration,4,4,13,12,11,10,31%,47%,5%,0.785,,,,,,,,,,,
PUB SEC,Public Management Review,4,4,5,5,8,4,38%,37%,9%,0.818,,,,,,,,,,,
PUB SEC,American Review of Public Administration,3,3,15,10,10,12,48%,32%,8%,0.79,,,,,,,,,,,
PUB SEC,Environment and Planning C: Politics and Space,3,3,17,26,21,20,75%,39%,13%,0.714,,,,,,,,,,,
PUB SEC,Health Services Research,3,3,12,2,2,9,13,53%,12%,56%,1.228,,,,,,,,,,
PUB SEC,International Public Management Journal,3,3,27,21,7,14,31%,49%,11%,0.541,,,,,,,,,,,
PUB SEC,International Review of Administrative Sciences,3,3,24,14,25,18,51%,35%,10%,0.753,,,,,,,,,,,
PUB SEC,Journal of European Public Policy,3,3,1,3,3,7,39%,53%,9%,2.544,,,,,,,,,,,
PUB SEC,Journal of Policy Analysis and Management,3,3,9,11,4,5,52%,20%,25%,5.189,,,,,,,,,,,
PUB SEC,Milbank Quarterly,3,3,14,18,13,1,50%,30%,32%,2.032,,,,,,,,,,,
PUB SEC,Policy and Politics,3,3,11,13,18,15,52%,39%,6%,1.391,,,,,,,,,,,
PUB SEC,Policy Studies Journal,3,,7,12,6,,50%,20%,19%,0.888,,,,,,,,,,,
PUB SEC,Regulation and Governance,3,3,6,6,14,9,54%,51%,11%,1.535,,,,,,,,,,,
PUB SEC,Administration and Society,2,2,25,17,23,25,45%,27%,9%,0.405,,,,,,,,,,,
PUB SEC,Australian Journal of Public Administration,2,2,42,40,41,39,44%,23%,9%,0.8,,,,,,,,,,,
PUB SEC,Educational Management Administration and Leadership,2,2,18,9,15,21,38%,14%,6%,0.783,,,,,,,,,,,
PUB SEC,Evidence and Policy,2,2,35,39,35,32,37%,26%,25%,1.017,,,,,,,,,,,
PUB SEC,Health Care Management Review,2,2,19,16,20,19,28%,16%,34%,0.306,,,,,,,,,,,
PUB SEC,Health Care Management Science,2,2,22,23,24,22,35%,27%,32%,0.205,,,,,,,,,,,
PUB SEC,Health Policy,2,2,16,20,19,16,51%,39%,48%,1.563,,,,,,,,,,,
PUB SEC,International Journal of Emergency Services,2,2,61,60,63,,24%,25%,21%,0.161,,,,,,,,,,,
PUB SEC,International Journal of Public Administration,2,2,45,45,40,,52%,35%,14%,0.416,,,,,,,,,,,
PUB SEC,Journal of Health Services Research and Policy,2,2,26,33,31,23,41%,26%,44%,0.647,,,,,,,,,,,
PUB SEC,Journal of Public Policy,2,,31,29,28,27,53%,30%,10%,0.738,,,,,,,,,,,
PUB SEC,Local Government Studies,2,2,28,24,27,28,44%,22%,9%,0.646,,,,,,,,,,,
PUB SEC,Perspectives on Public Management & Governance,2,2,20,,,29%,26%,18%,0.525,,,,,,,,,,,,
PUB SEC,Policing,2,2,49,43,29,36,34%,18%,21%,0.508,,,,,,,,,,,
PUB SEC,Policy Design and Practice,2,,7,15,17,,65%,34%,16%,2.365,,,,,,,,,,,
PUB SEC,Policy Studies,2,2,40,37,47,38,60%,42%,12%,0.868,,,,,,,,,,,
PUB SEC,Public Administration and Development,2,2,36,28,36,35,86%,50%,11%,0.73,,,,,,,,,,,
PUB SEC,Public Integrity,2,2,59,51,48,,58%,14%,8%,0.329,,,,,,,,,,,
PUB SEC,Public Money and Management,2,2,39,41,37,37,37%,36%,16%,0.421,,,,,,,,,,,
PUB SEC,Public Organization Review,2,2,51,46,55,,47%,33%,8%,0.294,,,,,,,,,,,
PUB SEC,Public Performance & Management Review,2,2,32,30,22,24,44%,38%,10%,0.262,,,,,,,,,,,
PUB SEC,Public Personnel Management,2,2,38,32,30,29,33%,38%,8%,0.221,,,,,,,,,,,
PUB SEC,Public Policy and Administration,2,2,21,65,33,17,38%,35%,7%,0.698,,,,,,,,,,,
PUB SEC,Review of Policy Research,2,,29,42,32,26,71%,33%,17%,0.538,,,,,,,,,,,
PUB SEC,Review of Public Personnel Administration,2,2,10,8,6,11,32%,30%,7%,0.496,,,,,,,,,,,
PUB SEC,Social Policy and Administration,2,2,30,19,26,31,80%,36%,11%,1.953,,,,,,,,,,,
PUB SEC,State Politics and Policy Quarterly,2,,42,25,16,33,47%,7%,4%,0.582,,,,,,,,,,,
PUB SEC,Transforming Government: People Process and Policy,2,2,23,27,39,,83%,38%,11%,0.165,,,,,,,,,,,
PUB SEC,Administrative Theory and Praxis,1,1,62,47,49,,42%,6%,9%,0.138,,,,,,,,,,,
PUB SEC,Asia and the Pacific Policy Studies,1,,37,38,43,,84%,40%,13%,1.446,,,,,,,,,,,
PUB SEC,Asia Pacific Journal of Public Administration,1,,56,59,50,,74%,38%,9%,0.539,,,,,,,,,,,
PUB SEC,Brazilian Journal of Public Administration,1,,65,44,59,,62%,18%,17%,0.52,,,,,,,,,,,
PUB SEC,British Journal of Health Care Management,1,1,68,67,66,,29%,13%,29%,0.042,,,,,,,,,,,
PUB SEC,Canadian Public Administration,1,,57,53,51,41,26%,11%,9%,0.351,,,,,,,,,,,
PUB SEC,Canadian Public Policy/Analyse de politiques,1,,52,50,42,40,74%,20%,18%,2.146,,,,,,,,,,,
PUB SEC,Health Services Management Research,1,1,53,57,56,,21%,19%,38%,0.423,,,,,,,,,,,
PUB SEC,International Journal of Educational Management,1,1,44,34,44,,60%,26%,13%,0.098,,,,,,,,,,,
PUB SEC,International Journal of Health Care Quality Assurance,1,1,47,49,54,,40%,18%,32%,0.159,,,,,,,,,,,
PUB SEC,International Journal of Health Governance,1,1,55,66,64,,61%,24%,28%,0.082,,,,,,,,,,,
PUB SEC,International Journal of Healthcare Technology and Management,1,1,66,68,67,,43%,34%,23%,0,,,,,,,,,,,
PUB SEC,International Journal of Public Leadership,1,,67,,,53%,19%,10%,0.157,,,,,,,,,,,,
PUB SEC,International Journal of Public Sector Management,1,1,34,35,38,,48%,37%,7%,0.296,,,,,,,,,,,
PUB SEC,International Review of Public Administration,1,1,64,63,60,,46%,32%,18%,0.047,,,,,,,,,,,
PUB SEC,Journal of Asian Public Policy,1,,50,58,57,,78%,33%,8%,0.26,,,,,,,,,,,
PUB SEC,Journal of Comparative Policy Analysis,1,,33,31,34,30,52%,55%,10%,0.458,,,,,,,,,,,
PUB SEC,Journal of Health Organization and Management,1,1,41,54,46,34,24%,22%,35%,0.192,,,,,,,,,,,
PUB SEC,Journal of Public Affairs,1,1,57,61,65,,67%,27%,14%,0.142,,,,,,,,,,,
PUB SEC,Journal of Public Affairs Education,1,1,48,48,45,,44%,9%,10%,0.048,,,,,,,,,,,
PUB SEC,Leadership in Health Services,1,1,46,55,53,,28%,18%,31%,0.11,,,,,,,,,,,
PUB SEC,Policing: A journal of policy and practice,1,,36,,,30%,17%,19%,0.509,,,,,,,,,,,,
PUB SEC,Public Administration Quarterly,1,,,,,,,,,,,,,,,,,,,,
PUB SEC,Public Works Management and Policy,1,,54,52,52,,79%,23%,19%,0.511,,,,,,,,,,,
PUB SEC,State and Local Government Review,1,,69,62,61,,57%,7%,6%,0.519,,,,,,,,,,,
PUB SEC,Teaching Public Administration,1,1,60,56,62,,37%,17%,8%,0.163,,,,,,,,,,,
PUB SEC,Voluntary Sector Review,1,,63,64,58,,40%,25%,18%,0.273,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Economic Geography,4,4,3,2,2,2,71%,53%,16%,2.627,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Economic Geography,4,4,5,4,3,5,71%,60%,22%,5.872,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Regional Studies,4,4,7,9,6,9,65%,44%,21%,2.309,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Cambridge Journal of Regions Economy and Society,3,3,2,3,4,4,67%,39%,12%,3.709,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Environment and Planning A,3,3,12,12,8,11,67%,42%,14%,0.637,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,European Urban and Regional Studies,3,3,8,10,11,12,77%,41%,17%,0.88,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Global Environmental Change,3,3,1,1,1,1,93%,62%,49%,6.674,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Regional Science,3,3,15,13,14,14,71%,41%,26%,3.904,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Rural Studies,3,3,11,11,12,7,72%,35%,26%,1.047,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Papers in Regional Science,3,3,16,16,16,16,61%,35%,20%,1.21,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Regional Science and Urban Economics,3,3,17,14,13,15,67%,41%,33%,3.14,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Urban Studies,3,3,10,7,7,10,83%,38%,12%,0.963,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Annals of Regional Science,2,2,18,19,18,19,64%,37%,20%,0.618,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Cities,2,2,6,6,10,6,87%,43%,20%,0.528,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Construction Management and Economics,2,2,13,17,17,,53%,35%,15%,0.263,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,European Planning Studies,2,2,14,15,15,13,72%,32%,17%,0.836,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Growth and Change,2,2,24,23,20,18,78%,30%,18%,0.425,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,International Journal of Urban and Regional Research,2,2,9,5,5,8,83%,43%,6%,0.464,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Place Management and Development,2,2,19,18,22,,63%,27%,13%,0.097,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Local Economy,2,2,25,29,26,,77%,21%,13%,0.383,,,,,,,,,,,
