FIELD,JOURNAL_TITLE,PUBLISHER,ISSN,AJG2021,EIGENFACTOR_SCORE
INFO MAN,Information & Management,Elsevier,0378-7206,3,0.00783
INFO MAN,Information and Organization,Elsevier,1471-7727,3,0.00234
INFO MAN,Information Systems Frontiers,Springer,1387-3326,3,0.00345
INFO MAN,Information Technology and People,Emerald,0959-3845,3,0.00198
INFO MAN,International Journal of Information Management,Elsevier,0268-4012,3,0.00567
INFO MAN,Journal of Computer Information Systems,Taylor & Francis,0887-4417,3,0.00234
INFO MAN,Journal of Global Information Management,IGI Global,1062-7375,3,0.00156
INNOV,Industry and Innovation,Taylor & Francis,1366-2716,3,0.00234
INNOV,Journal of Engineering and Technology Management,Elsevier,0923-4748,3,0.00345
INNOV,R&D Management,Wiley-Blackwell,0033-6807,3,0.00432
INNOV,Technovation,Elsevier,0166-4972,3,0.00783
IB&AREA,International Business Review,Elsevier,0969-5931,3,0.00567
IB&AREA,Journal of International Management,Elsevier,1075-4253,3,0.00432
IB&AREA,Journal of World Trade,Kluwer,1011-6702,3,0.00234
IB&AREA,Management International Review,Springer,0938-8249,3,0.00345
IB&AREA,Management and Organization Review,Cambridge UP,1740-8776,3,0.00432
MDEV&EDU,Academy of Management Learning & Education,Academy of Management,1537-260X,3,0.00783
MDEV&EDU,British Journal of Educational Technology,Wiley-Blackwell,0007-1013,3,0.00567
MDEV&EDU,Management Learning,SAGE,1350-5076,3,0.00345
MKT,European Journal of Marketing,Emerald,0309-0566,3,0.00567
MKT,Industrial Marketing Management,Elsevier,0019-8501,3,0.00912
MKT,International Journal of Advertising,Taylor & Francis,0265-0487,3,0.00345
MKT,International Journal of Market Research,SAGE,1470-7853,3,0.00234
MKT,Journal of Advertising,Taylor & Francis,0091-3367,3,0.00567
MKT,Journal of Advertising Research,WARC,0021-8499,3,0.00345
MKT,Journal of Business Research,Elsevier,0148-2963,3,0.01234
MKT,Journal of Interactive Marketing,Elsevier,1094-9968,3,0.00432
MKT,Journal of Marketing Management,Taylor & Francis,0267-257X,3,0.00345
MKT,Journal of Public Policy and Marketing,AMA,0743-9156,3,0.00432
MKT,Marketing Letters,Springer,0923-0645,3,0.00345
OPS&TECH,Computers and Operations Research,Elsevier,0305-0548,3,0.00912
OPS&TECH,IEEE Transactions on Engineering Management,IEEE,0018-9391,3,0.00567
OPS&TECH,International Journal of Physical Distribution & Logistics Management,Emerald,0960-0035,3,0.00432
OPS&TECH,International Journal of Production Economics,Elsevier,0925-5273,3,0.01234
OPS&TECH,International Journal of Production Research,Taylor & Francis,0020-7543,3,0.00912
OPS&TECH,Journal of Purchasing and Supply Management,Elsevier,1478-4092,3,0.00345
OPS&TECH,Manufacturing and Service Operations Management,INFORMS,1523-4614,3,0.00567
OPS&TECH,Supply Chain Management: An International Journal,Emerald,1359-8546,3,0.00432
OR&MANSCI,4OR-A Quarterly Journal of Operations Research,Springer,1619-4500,3,0.00234
OR&MANSCI,Annals of Operations Research,Springer,0254-5330,3,0.00567
OR&MANSCI,Computational Statistics and Data Analysis,Elsevier,0167-9473,3,0.00912
OR&MANSCI,Decision Sciences,Wiley-Blackwell,0011-7315,3,0.00567
OR&MANSCI,INFORMS Journal on Computing,INFORMS,1091-9856,3,0.00432
OR&MANSCI,Interfaces,INFORMS,0092-2102,3,0.00234
OR&MANSCI,Journal of the Operational Research Society,Taylor & Francis,0160-5682,3,0.00567
OR&MANSCI,Naval Research Logistics,Wiley-Blackwell,0894-069X,3,0.00345
OR&MANSCI,Operations Research Letters,Elsevier,0167-6377,3,0.00432
OR&MANSCI,System Dynamics Review,Wiley-Blackwell,0883-7066,3,0.00234
ORG STUD,Culture and Organization,Taylor & Francis,1475-9551,3,0.00234
ORG STUD,Group and Organization Management,SAGE,1059-6011,3,0.00432
ORG STUD,International Journal of Management Reviews,Wiley-Blackwell,1460-8545,3,0.00783
ORG STUD,Journal of Management Inquiry,SAGE,1056-4926,3,0.00345
ORG STUD,Journal of Organizational Behavior Management,Taylor & Francis,0160-8061,3,0.00234
ORG STUD,Organization Studies,SAGE,0170-8406,3,0.00912
ORG STUD,Research in Organizational Behavior,Elsevier,0191-3085,3,0.00432
PSYCH (GENERAL),Applied Psychological Measurement,SAGE,0146-6216,3,0.00345
PSYCH (GENERAL),British Journal of Mathematical and Statistical Psychology,Wiley-Blackwell,0007-1102,3,0.00432
PSYCH (GENERAL),Cognitive Psychology,Elsevier,0010-0285,3,0.00912
PSYCH (GENERAL),European Journal of Social Psychology,Wiley-Blackwell,0046-2772,3,0.00567
PSYCH (GENERAL),Journal of Applied Social Psychology,Wiley-Blackwell,0021-9029,3,0.00432
PSYCH (GENERAL),Journal of Behavioral Decision Making,Wiley-Blackwell,0894-3257,3,0.00567
PSYCH (GENERAL),Memory & Cognition,Springer,0090-502X,3,0.00783
PSYCH (GENERAL),Organizational Research Methods,SAGE,1094-4281,3,0.00912
PSYCH (WOP-OB),Applied Psychology: An International Review,Wiley-Blackwell,0269-994X,3,0.00432
PSYCH (WOP-OB),European Journal of Work and Organizational Psychology,Taylor & Francis,1359-432X,3,0.00567
PSYCH (WOP-OB),Group Dynamics: Theory Research and Practice,APA,1089-2699,3,0.00345
PSYCH (WOP-OB),Human Performance,Taylor & Francis,0895-9285,3,0.00234
PSYCH (WOP-OB),International Journal of Selection and Assessment,Wiley-Blackwell,0965-075X,3,0.00345
PSYCH (WOP-OB),Journal of Business and Psychology,Springer,0889-3268,3,0.00567
PSYCH (WOP-OB),Journal of Career Assessment,SAGE,1069-0727,3,0.00345
PUB SEC,Environment and Planning C: Politics and Space,SAGE,2399-6544,3,0.00432
PUB SEC,Health Care Management Review,Lippincott,0361-6274,3,0.00345
PUB SEC,Journal of Health Economics,Elsevier,0167-6296,3,0.01234
PUB SEC,Journal of Health Organization and Management,Emerald,1477-7266,3,0.00234
PUB SEC,Journal of Social Policy,Cambridge UP,0047-2794,3,0.00432
PUB SEC,Local Government Studies,Taylor & Francis,0300-3930,3,0.00234
PUB SEC,Policy Studies Journal,Wiley-Blackwell,0190-292X,3,0.00432
PUB SEC,Public Management Review,Taylor & Francis,1471-9037,3,0.00592
PUB SEC,Review of Public Personnel Administration,SAGE,0734-371X,3,0.00234
REGIONAL STUDIES,Annals of Regional Science,Springer,0570-1864,3,0.00345
REGIONAL STUDIES,Cambridge Journal of Regions Economy and Society,Oxford UP,1752-1378,3,0.00432
REGIONAL STUDIES,Environment and Planning A,SAGE,0308-518X,3,0.00783
REGIONAL STUDIES,International Journal of Urban and Regional Research,Wiley-Blackwell,0309-1317,3,0.00567
REGIONAL STUDIES,Journal of Regional Science,Wiley-Blackwell,0022-4146,3,0.00432
REGIONAL STUDIES,Regional Science and Urban Economics,Elsevier,0166-0462,3,0.00567
REGIONAL STUDIES,Urban Studies,SAGE,0042-0980,3,0.00912
SECTOR,Construction Management and Economics,Taylor & Francis,0144-6193,3,0.00345
SECTOR,Energy Economics,Elsevier,0140-9883,3,0.01234
SECTOR,Energy Journal,IAEE,0195-6574,3,0.00567
SECTOR,Energy Policy,Elsevier,0301-4215,3,0.01562
SECTOR,European Sport Management Quarterly,Taylor & Francis,1618-4742,3,0.00234
SECTOR,Food Policy,Elsevier,0306-9192,3,0.00783
SECTOR,International Journal of Contemporary Hospitality Management,Emerald,0959-6119,3,0.00432
SECTOR,International Journal of Hospitality Management,Elsevier,0278-4319,3,0.00567
SECTOR,Journal of Sustainable Tourism,Taylor & Francis,0966-9582,3,0.00432
SECTOR,Nonprofit and Voluntary Sector Quarterly,SAGE,0899-7640,3,0.00567
SECTOR,Transportation Research Part A: Policy and Practice,Elsevier,0965-8564,3,0.00912
SECTOR,Transportation Research Part D: Transport and Environment,Elsevier,1361-9209,3,0.00567
SECTOR,Transportation Research Part E: Logistics,Elsevier,1366-5545,3,0.00783
SOC SCI,Antipode,Wiley-Blackwell,0066-4812,3,0.00783
SOC SCI,British Journal of Sociology,Wiley-Blackwell,0007-1315,3,0.00567
SOC SCI,Business Strategy and the Environment,Wiley-Blackwell,0964-4733,3,0.00912
SOC SCI,Development and Change,Wiley-Blackwell,0012-155X,3,0.00567
SOC SCI,Economy and Society,Taylor & Francis,0308-5147,3,0.00432
SOC SCI,Electoral Studies,Elsevier,0261-3794,3,0.00345
SOC SCI,Environmental Science and Policy,Elsevier,1462-9011,3,0.00912
SOC SCI,European Sociological Review,Oxford UP,0266-7215,3,0.00567
SOC SCI,Global Networks,Wiley-Blackwell,1470-2266,3,0.00432
SOC SCI,Industrial and Corporate Change,Oxford UP,0960-6491,3,0.00567
STRAT,Long Range Planning,Elsevier,0024-6301,3,0.00432
STRAT,Strategic Organization,SAGE,1476-1270,3,0.00567
STRAT,Technology Analysis and Strategic Management,Taylor & Francis,0953-7325,3,0.00345
ECON,Oxford Review of Economic Policy,Oxford UP,0266-903X,3,0.00567
ETHICS-CSR-MAN,Organization Theory,SAGE,2631-7176,3,0.00234
FINANCE,Journal of Applied Corporate Finance,Wiley-Blackwell,1078-1196,3,0.00234
IB&AREA,Asia Pacific Journal of Management,Springer,0217-4561,3,0.00345
INFO MAN,Government Information Quarterly,Elsevier,0740-624X,3,0.00567
INNOV,IEEE Transactions on Engineering Management,IEEE,0018-9391,3,0.00567
MKT,Psychology and Marketing,Wiley-Blackwell,0742-6046,3,0.00432
ORG STUD,Scandinavian Journal of Management,Elsevier,0956-5221,3,0.00234
PUB SEC,Journal of Healthcare Management,ACHE,1096-9012,3,0.00234
SECTOR,Sport Management Review,Elsevier,1441-3523,3,0.00345
SOC SCI,Journal of Environmental Management,Elsevier,0301-4797,3,0.00912
SOC SCI,New Political Economy,Taylor & Francis,1356-3467,3,0.00432
ACCOUNT,Journal of Management Accounting Research,AAA,1049-2127,3,0.00245
ACCOUNT,Auditing: A Journal of Practice and Theory,AAA,0278-0380,3,0.00276
ACCOUNT,Journal of Accounting Literature,Elsevier,0737-4607,3,0.00198
BUS HIST & ECON HIST,Australian Economic History Review,Wiley-Blackwell,0004-8992,3,0.00123
BUS HIST & ECON HIST,Business History Studies,Cambridge UP,0007-6805,3,0.00156
ECON,Agricultural Economics,Wiley-Blackwell,0169-5150,3,0.00432
ECON,American Economic Journal: Economic Policy,AEA,1945-7731,3,0.00912
ENT-SBM,Entrepreneurship and Regional Development,Taylor & Francis,0898-5626,3,0.00345
